Samsung_Smartphone,Samsung_Smart_TV_43in,Samsung_Smart_Watch,Samsung_Washing_Machine,Samsung_AC_1.5_Tonne
66262,25237,20607,37091,56028
101376,58390,33686,28562,52459
45595,35585,16770,23890,51438
48871,50971,38126,42669,47137
79338,54120,11850,33593,38939
54050,40470,26266,43422,51944
71852,49926,31845,36007,46720
51046,38983,23013,45371,43537
36667,69382,9967,42884,52488
72648,62863,15041,43710,45636
30804,40786,9167,34657,38761
35599,48543,20806,53391,48322
62694,47616,38691,34097,43036
72840,70837,15951,44745,54512
89557,44311,11505,36037,32276
39992,49679,13921,29545,58491
29115,67764,20074,39567,47781
100333,35627,20032,35561,29235
32574,49275,13101,30416,37248
35540,32590,24814,33554,62992
41029,51658,9251,26997,49579
55646,43420,21326,56182,55567
87888,71755,16951,39964,59728
74095,44962,10514,27497,43982
69322,34292,21609,43726,49804
34043,61329,22609,38836,52259
44817,60604,17240,42332,58059
52250,54686,26330,38379,46739
32056,57032,18695,22377,63410
40038,39926,14263,28524,51195
41982,52583,33448,43870,59345
30494,27551,32805,43376,34683
57088,37185,9515,43359,47831
69051,68074,32937,18700,39197
25191,56599,25588,45194,61094
52426,38601,9881,34880,41259
76221,32925,18913,41435,53927
72907,69642,6939,30648,33409
79659,32972,20498,43897,40031
50318,39636,32138,55535,43969
80262,36551,15825,30105,55988
38186,23346,18680,44418,41809
45000,41707,13051,38918,57162
34124,72636,19393,30677,56206
51544,42646,26486,31276,67351
46857,47736,12776,42624,52953
38196,56901,19676,30997,51936
73263,49296,15567,21558,51062
42294,56795,24728,48092,36105
40004,53343,23398,38495,49028
30783,51329,23308,43516,58438
49726,52875,16009,38872,29843
41680,59463,20747,36676,36936
45499,55330,22034,43913,51039
37906,59088,22817,20379,58266
74346,34778,20178,31754,43594
95181,53982,28900,39528,59245
53530,56499,13510,52060,44486
63949,41212,7977,33822,47883
85811,63770,34110,54727,63498
116790,41379,8192,43407,46674
61681,39124,30525,35927,51014
88856,63293,21062,34653,62378
91640,39249,31330,25793,42246
77160,44965,19939,39193,35169
51124,43492,27132,21864,63854
26364,65368,23943,34651,50096
17222,46176,19041,29626,64455
52172,54663,15732,52987,59048
53291,59202,4126,33081,50899
47783,52046,13554,36029,48027
58354,69126,33320,33383,48243
57222,59634,14059,26112,38666
82081,44501,24849,32813,47588
28935,69836,18677,44232,57333
37259,48402,14703,39356,66823
77320,25819,37129,34841,64025
83407,39748,7566,45792,64165
113251,51815,20338,16932,29624
86557,35336,17681,46033,49088
88873,50445,8829,22319,40004
42322,43289,12749,47919,51392
47437,48730,23182,52320,63018
39743,21676,9935,45736,59463
61139,62158,26433,19199,59042
96794,43299,21376,36912,45283
44058,34499,9691,46121,48744
57562,45643,14284,37375,42809
41307,47151,10804,32998,49961
33671,52405,26317,35597,43474
35379,48402,19215,23522,56879
23828,28079,4120,36195,47857
98876,63573,19437,20006,53579
47510,46216,18127,39990,59294
81793,30746,21829,33745,43363
67044,58158,6933,28122,51557
35166,53285,6965,18955,58220
34062,52867,15467,50639,63341
79324,45308,23026,37658,38544
39555,44814,22437,40070,53067
